Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
2.4%,47.7,84.0,61.8,127.5,172.9,3.6,13%,83%,4%,30%,23%,17%,17%,13%
0.0%,39.1,47.9,53.3,56.0,156.5,4.0,14%,81%,4%,25%,22%,18%,19%,16%
0.0%,20.3,26.4,21.8,38.9,126.6,6.2,,,,,,,,
2.9%,49.4,95.3,70.7,132.5,177.7,3.6,7%,88%,4%,25%,20%,16%,19%,21%
0.0%,75.3,113.1,42.6,155.5,223.3,3.0,,,,,,,,
1.0%,38.1,66.9,56.2,83.1,156.7,4.1,9%,87%,4%,25%,21%,17%,19%,18%
0.3%,55.3,73.9,62.8,90.2,186.0,3.4,11%,85%,4%,26%,21%,17%,18%,19%
0.2%,50.8,69.8,59.6,84.3,177.9,3.5,11%,85%,4%,27%,21%,17%,18%,18%
2.0%,57.0,100.6,70.3,140.3,191.6,3.4,4%,91%,5%,21%,18%,16%,20%,25%
0.7%,56.6,85.9,83.0,122.1,191.4,3.4,12%,83%,5%,33%,20%,15%,15%,18%
0.5%,70.1,100.7,84.1,121.1,221.3,3.2,9%,87%,4%,32%,21%,16%,15%,15%
1.2%,46.9,73.7,67.2,113.0,172.0,3.7,10%,86%,5%,32%,21%,15%,15%,16%
0.5%,17.8,33.0,52.6,71.6,123.9,7.0,18%,78%,4%,39%,22%,15%,14%,11%
0.0%,10.4,13.4,43.4,31.5,103.3,9.9,22%,74%,4%,32%,20%,15%,16%,16%
0.5%,12.9,23.7,48.8,52.5,109.3,8.5,11%,84%,5%,23%,31%,32%,8%,7%
0.6%,28.4,50.0,55.8,77.7,143.6,5.1,14%,83%,4%,25%,17%,14%,19%,24%
1.3%,31.1,39.0,68.1,107.3,149.2,4.8,13%,84%,4%,26%,19%,17%,19%,19%
0.4%,18.9,27.8,60.8,92.2,125.6,6.6,22%,74%,4%,30%,20%,15%,17%,17%
0.1%,15.5,37.4,53.1,57.6,119.1,7.7,15%,81%,4%,26%,19%,16%,18%,20%
1.2%,29.2,46.1,62.1,93.6,145.3,5.0,13%,83%,5%,26%,18%,14%,17%,24%
0.2%,10.9,24.4,52.9,65.0,105.5,9.7,16%,79%,4%,32%,20%,15%,15%,18%
1.0%,36.6,49.7,65.4,104.1,152.9,4.2,12%,83%,5%,26%,17%,13%,15%,28%
2.0%,35.1,46.2,65.7,110.2,149.8,4.3,15%,81%,4%,24%,18%,15%,19%,25%
0.1%,10.3,15.2,40.7,25.8,100.5,9.8,18%,78%,4%,30%,22%,17%,19%,12%
3.7%,14.2,22.8,47.8,58.8,113.1,8.0,15%,80%,5%,34%,24%,16%,16%,10%
0.2%,16.5,27.8,55.2,66.7,122.2,7.4,19%,77%,4%,30%,19%,16%,18%,18%
0.2%,19.9,31.1,55.3,68.8,127.8,6.4,15%,81%,4%,32%,20%,15%,15%,19%
0.3%,24.3,34.2,58.8,89.9,137.1,5.6,20%,75%,5%,40%,21%,14%,13%,12%
2.9%,25.1,60.0,51.9,79.7,137.6,5.5,14%,83%,3%,31%,19%,15%,17%,18%
0.1%,25.3,35.4,56.1,65.9,139.0,5.5,14%,81%,4%,28%,20%,16%,19%,17%
2.8%,28.9,48.1,58.7,95.0,144.3,5.0,7%,89%,4%,25%,17%,14%,18%,26%
0.0%,8.4,13.2,44.4,32.5,93.4,11.2,33%,64%,4%,31%,17%,14%,14%,23%
0.0%,11.1,19.0,47.1,44.5,106.1,9.6,31%,65%,4%,33%,18%,13%,14%,22%
0.0%,12.0,15.7,50.5,59.8,109.9,9.1,32%,65%,4%,32%,18%,14%,14%,23%
0.4%,24.8,42.4,54.7,76.1,138.0,5.6,14%,82%,5%,32%,21%,15%,16%,16%
0.2%,24.0,34.7,60.3,79.6,137.8,5.7,19%,76%,5%,40%,21%,14%,13%,12%
0.2%,22.6,35.6,53.0,69.7,133.6,5.9,15%,80%,4%,27%,20%,16%,18%,19%
0.0%,12.1,16.4,46.6,38.7,109.6,9.1,22%,74%,4%,35%,22%,16%,16%,12%
0.0%,15.6,19.9,46.8,39.9,119.1,7.7,19%,77%,4%,32%,23%,17%,16%,12%
0.7%,17.0,46.1,51.4,65.9,122.2,7.2,11%,85%,4%,26%,18%,15%,17%,23%
0.0%,17.5,22.7,43.5,36.1,123.7,7.1,18%,78%,4%,27%,19%,16%,19%,19%
3.2%,39.5,55.6,60.8,112.4,157.9,4.0,6%,89%,5%,29%,18%,14%,15%,24%
0.1%,5.7,9.8,37.9,17.7,77.5,13.5,26%,71%,4%,32%,21%,16%,17%,14%
0.7%,19.5,35.0,53.8,74.6,127.1,6.5,14%,82%,4%,31%,22%,16%,16%,15%
0.2%,14.5,28.2,54.2,68.4,116.5,8.0,15%,81%,4%,32%,20%,15%,15%,18%
0.7%,25.0,34.2,61.3,88.3,138.3,5.5,18%,78%,4%,26%,18%,15%,19%,22%
0.2%,19.5,29.1,59.2,81.6,127.5,6.5,20%,76%,4%,45%,22%,13%,11%,8%
2.0%,32.9,45.0,60.4,100.2,145.3,4.4,16%,79%,5%,31%,18%,14%,15%,22%
0.1%,9.7,18.8,55.8,69.9,100.6,10.4,25%,71%,4%,35%,20%,14%,15%,15%
1.0%,24.7,46.7,61.1,99.0,139.8,5.7,13%,82%,4%,33%,21%,15%,16%,16%
0.0%,7.2,13.6,36.8,31.6,81.9,11.3,15%,81%,4%,23%,31%,31%,8%,6%
0.4%,38.6,46.6,54.8,77.8,155.8,4.0,13%,82%,4%,25%,19%,14%,19%,23%
4.1%,39.8,59.1,59.4,129.6,157.9,4.0,7%,89%,4%,27%,20%,16%,18%,18%
1.7%,22.7,36.4,56.8,97.8,132.7,5.9,14%,81%,5%,29%,21%,15%,17%,18%
0.1%,25.9,38.1,51.7,62.3,139.0,5.4,15%,81%,4%,27%,20%,16%,18%,19%
0.1%,14.5,19.2,45.8,29.7,115.6,8.0,18%,77%,5%,23%,18%,15%,19%,25%
0.0%,8.5,11.3,40.7,38.1,92.2,10.8,18%,78%,4%,33%,21%,15%,15%,16%
0.5%,31.0,50.1,56.1,73.6,149.1,4.8,10%,84%,5%,23%,17%,13%,16%,31%
3.9%,40.0,56.4,66.7,129.0,159.7,4.0,8%,87%,5%,23%,17%,14%,19%,27%
5.7%,21.9,40.4,47.2,91.9,128.0,5.8,12%,83%,5%,33%,23%,17%,17%,10%
1.9%,15.5,29.3,44.6,71.8,114.7,7.4,12%,83%,5%,34%,25%,16%,16%,9%
5.4%,30.1,50.8,66.3,123.9,148.9,4.9,10%,86%,5%,28%,20%,15%,17%,20%
0.0%,8.6,13.8,40.2,32.6,92.4,10.7,17%,78%,4%,27%,19%,15%,16%,23%
0.4%,19.4,35.9,51.2,67.9,126.0,6.5,11%,85%,4%,39%,23%,14%,13%,11%
0.4%,40.5,55.0,53.7,71.2,159.5,3.9,8%,88%,5%,32%,21%,15%,16%,15%
0.3%,25.1,37.7,49.9,64.8,137.8,5.5,15%,81%,4%,29%,21%,16%,18%,16%
0.3%,18.3,30.7,56.4,53.3,126.5,6.9,20%,75%,5%,23%,18%,15%,19%,25%
0.2%,10.6,15.2,48.8,62.5,104.6,9.8,20%,75%,5%,30%,18%,13%,15%,25%
0.5%,11.0,18.9,47.4,63.7,105.5,9.6,19%,77%,5%,33%,18%,13%,14%,22%
0.1%,9.0,15.7,48.5,58.3,96.4,10.7,19%,76%,5%,31%,18%,13%,14%,23%
0.0%,8.0,9.6,38.5,19.4,89.0,11.1,17%,79%,4%,34%,22%,16%,15%,13%
0.5%,21.1,36.8,52.5,76.6,129.8,6.1,13%,82%,5%,36%,22%,14%,13%,14%
0.0%,16.7,22.5,49.2,54.1,120.6,7.2,17%,79%,4%,29%,20%,15%,16%,20%
1.6%,20.1,36.6,53.1,88.3,127.8,6.4,13%,83%,4%,36%,23%,15%,15%,10%
0.0%,13.5,19.6,43.5,41.1,111.8,8.3,18%,78%,4%,33%,23%,16%,16%,12%
0.5%,31.2,46.0,51.6,68.1,141.2,4.5,12%,84%,4%,27%,20%,15%,17%,22%
2.9%,27.6,44.8,56.7,106.5,142.2,5.2,13%,82%,5%,28%,20%,15%,18%,18%
4.2%,37.3,56.3,52.5,95.4,152.9,4.1,6%,87%,7%,28%,18%,14%,14%,26%
0.4%,13.7,27.6,43.0,58.8,114.1,8.3,11%,85%,4%,34%,22%,15%,16%,13%
0.0%,6.9,12.2,39.3,22.5,83.4,12.1,19%,77%,4%,30%,22%,16%,16%,15%
0.1%,7.3,13.2,40.0,28.6,86.1,11.7,18%,78%,4%,32%,21%,15%,15%,16%
5.6%,32.1,50.5,55.4,111.9,142.7,4.4,5%,89%,5%,26%,18%,15%,18%,24%
0.4%,17.6,29.7,53.8,76.8,123.3,7.0,13%,83%,4%,47%,23%,13%,10%,7%
1.0%,26.5,42.4,49.0,66.1,140.1,5.3,12%,83%,5%,27%,18%,14%,15%,26%
0.6%,13.4,22.9,52.3,73.6,113.3,8.4,15%,80%,5%,36%,22%,14%,14%,14%
3.2%,22.0,35.7,56.1,75.2,131.6,6.0,8%,86%,5%,23%,29%,31%,9%,8%
1.9%,35.8,62.4,75.2,109.1,154.8,4.3,9%,87%,4%,24%,17%,15%,20%,23%
0.2%,21.2,27.3,49.9,71.7,130.2,6.2,16%,80%,4%,23%,18%,16%,20%,22%
0.1%,13.5,18.7,52.7,66.0,113.9,8.4,20%,76%,4%,27%,20%,16%,19%,18%
0.9%,24.2,52.4,58.2,91.5,137.8,5.7,9%,87%,4%,25%,19%,16%,19%,21%
2.4%,32.4,51.4,73.1,117.6,146.9,4.5,12%,84%,4%,26%,18%,15%,18%,23%
0.9%,16.3,35.1,58.5,96.6,122.0,7.5,13%,82%,4%,32%,21%,16%,16%,16%
1.5%,33.1,46.9,74.6,105.8,149.2,4.5,14%,82%,4%,24%,16%,14%,17%,29%
0.2%,26.4,35.2,53.3,89.3,140.1,5.3,17%,79%,4%,23%,18%,16%,20%,24%
0.0%,3.8,11.3,58.8,35.4,63.8,16.8,17%,79%,4%,28%,21%,17%,20%,14%
2.0%,13.4,19.2,41.8,59.6,109.8,8.2,17%,79%,4%,31%,24%,17%,17%,11%
0.0%,6.1,7.1,66.4,25.1,84.7,13.8,18%,79%,3%,27%,19%,16%,19%,19%
1.0%,29.1,47.4,61.2,99.4,147.1,5.1,13%,83%,4%,32%,20%,15%,16%,17%
0.2%,22.6,31.0,59.1,82.7,135.3,6.0,19%,76%,4%,38%,21%,14%,14%,13%
5.9%,28.5,74.8,69.9,109.7,147.8,5.2,9%,87%,4%,27%,18%,15%,19%,21%
0.3%,35.6,47.2,56.6,92.3,151.1,4.2,12%,84%,4%,26%,20%,16%,19%,19%
3.3%,29.6,52.1,71.5,115.1,148.6,5.0,10%,86%,4%,24%,17%,14%,19%,26%
0.2%,14.1,25.8,48.1,75.9,115.4,8.2,28%,68%,4%,31%,17%,14%,15%,23%
0.3%,14.4,24.1,48.4,77.7,116.0,8.1,26%,69%,4%,32%,18%,14%,15%,21%
0.5%,16.3,26.8,48.6,83.8,120.8,7.4,27%,69%,4%,32%,18%,14%,15%,22%
1.3%,29.9,47.6,68.6,108.5,149.7,5.0,12%,84%,4%,29%,20%,16%,17%,18%
0.2%,21.2,29.1,63.1,71.0,134.0,6.3,18%,78%,4%,40%,21%,14%,14%,12%
0.5%,32.9,47.7,66.1,101.1,147.6,4.5,15%,81%,4%,28%,21%,16%,18%,17%
0.0%,7.5,11.6,48.2,56.2,88.0,11.7,21%,75%,4%,32%,21%,16%,17%,15%
0.3%,25.8,31.9,50.6,76.8,139.3,5.4,15%,81%,4%,31%,21%,17%,17%,14%
2.6%,23.0,58.2,66.1,103.4,136.7,6.0,9%,88%,4%,25%,18%,16%,18%,23%
0.0%,8.2,10.3,59.3,38.1,95.4,11.6,19%,78%,4%,26%,19%,16%,19%,20%
4.4%,33.9,51.1,70.9,113.0,150.0,4.4,13%,82%,5%,23%,16%,15%,17%,29%
0.0%,15.9,21.8,47.0,52.3,121.3,7.6,21%,75%,4%,30%,20%,16%,18%,16%
1.8%,23.6,40.2,60.6,106.6,136.8,5.8,12%,83%,4%,28%,19%,15%,17%,20%
